State,Charging_Station_Count,Total_Connectors,Fast_Charger_Count,Avg_Charger_Rating,District_Count,City_Count,Private_Charger_Rows,Govt_Charger_Rows,Connectors_per_Station,Fast_Charger_Share
Andhra Pradesh,793,1089,340,23.229663962920046,46,385,161,702,1.373266078184111,42.87515762925599
Delhi,1977,3678,395,11.80831654676259,24,3,2784,691,1.8603945371775417,19.97976732422863
Gujarat,1208,1792,574,26.44975404075896,60,291,307,1116,1.4834437086092715,47.51655629139073
Haryana,936,3055,807,15.968647897115051,39,173,2013,864,3.263888888888889,86.21794871794873
Karnataka,6146,8512,761,8.630936211496483,46,505,6288,1958,1.3849658314350797,12.382037097299056
Kerala,1394,2262,487,18.126960784313727,26,294,601,1439,1.6226685796269726,34.935437589670016
Madhya Pradesh,1147,1432,335,17.51092577147623,94,294,71,1128,1.2484742807323452,29.206625980819528
Maharashtra,4183,6315,1240,15.794832086305897,62,598,4109,1638,1.5096820463781975,29.643796318431747
Punjab,715,931,226,19.780583756345177,46,223,88,700,1.302097902097902,31.608391608391607
Rajasthan,1531,1928,513,17.890077704722056,99,383,280,1393,1.2593076420640104,33.50751143043762
Tamil Nadu,1781,3040,917,22.626115135341212,76,511,420,2203,1.7069062324536777,51.487928130263896
Telangana,1064,1630,484,22.352098408104197,63,386,478,904,1.531954887218045,45.48872180451128
Uttar Pradesh,2328,2960,515,14.15766590389016,135,487,341,2281,1.2714776632302405,22.121993127147764
West Bengal,903,1192,320,18.330935960591134,44,282,182,833,1.320044296788483,35.437430786267996
