State,EV_Registrations_Base,EV_Registrations_Final,EV_CAGR_2025,EV_CAGR_2020_2025
Andhra Pradesh,3134.0,69495.0,85.85357243660572,85.85357243660572
Delhi,11808.0,107644.0,55.583198890370134,55.583198890370134
Gujarat,1687.0,86280.0,119.66406225811706,119.66406225811706
Haryana,3029.0,37137.0,65.08267929296439,65.08267929296439
Karnataka,12986.0,221441.0,76.34231062901138,76.34231062901138
Kerala,2197.0,115400.0,120.83868395355645,120.83868395355645
Madhya Pradesh,4386.0,158886.0,105.02338560943483,105.02338560943483
Maharashtra,9395.0,278993.0,97.0331517933994,97.0331517933994
Punjab,954.0,46136.0,117.21925144066287,117.21925144066287
Rajasthan,8205.0,123153.0,71.89897301265178,71.89897301265178
Tamil Nadu,11941.0,190823.0,74.06762515790864,74.06762515790864
Telangana,2617.0,88881.0,102.39558836438883,102.39558836438883
Uttar Pradesh,31595.0,414565.0,67.33810816837659,67.33810816837659
West Bengal,8204.0,133390.0,74.67048420972804,74.67048420972804
