State,Year,EV_Registrations,Population,EVs_per_1Lakh_People
Andhra Pradesh,2020,3134.0,52505000.0,5.97
Andhra Pradesh,2021,15411.0,52787000.0,29.19
Andhra Pradesh,2022,31985.0,52971000.0,60.38
Andhra Pradesh,2023,36329.0,53156000.0,68.34
Andhra Pradesh,2024,54977.0,53340000.0,103.07
Andhra Pradesh,2025,69495.0,53524000.0,129.84
Delhi,2020,11808.0,20192000.0,58.48
Delhi,2021,34504.0,20572000.0,167.72
Delhi,2022,67112.0,20965000.0,320.11
Delhi,2023,79039.0,21359000.0,370.05
Delhi,2024,83555.0,21753000.0,384.11
Delhi,2025,107644.0,22146000.0,486.07
Gujarat,2020,1687.0,68862000.0,2.45
Gujarat,2021,19031.0,69788000.0,27.27
Gujarat,2022,81116.0,70647000.0,114.82
Gujarat,2023,88442.0,71507000.0,123.68
Gujarat,2024,69143.0,72367000.0,95.54
Gujarat,2025,86280.0,73226000.0,117.83
Haryana,2020,3029.0,29077000.0,10.42
Haryana,2021,11849.0,29483000.0,40.19
Haryana,2022,28705.0,29846000.0,96.18
Haryana,2023,33597.0,30209000.0,111.22
Haryana,2024,41183.0,30573000.0,134.7
Haryana,2025,37137.0,30936000.0,120.04
Karnataka,2020,12986.0,66321000.0,19.58
Karnataka,2021,46112.0,66845000.0,68.98
Karnataka,2022,113941.0,67268000.0,169.38
Karnataka,2023,170489.0,67692000.0,251.86
Karnataka,2024,173976.0,68115000.0,255.42
Karnataka,2025,221441.0,68538000.0,323.09
Kerala,2020,2197.0,35307000.0,6.22
Kerala,2021,14880.0,35490000.0,41.93
Kerala,2022,52311.0,35633000.0,146.8
Kerala,2023,81021.0,35777000.0,226.46
Kerala,2024,82840.0,35920000.0,230.62
Kerala,2025,115400.0,36063000.0,320.0
Madhya Pradesh,2020,4386.0,83374000.0,5.26
Madhya Pradesh,2021,14119.0,84516000.0,16.71
Madhya Pradesh,2022,45329.0,85548000.0,52.99
Madhya Pradesh,2023,77403.0,86579000.0,89.4
Madhya Pradesh,2024,107617.0,87610000.0,122.84
Madhya Pradesh,2025,158886.0,88642000.0,179.24
Maharashtra,2020,9395.0,123294000.0,7.62
Maharashtra,2021,51432.0,124437000.0,41.33
Maharashtra,2022,158637.0,125411000.0,126.49
Maharashtra,2023,212313.0,126385000.0,167.99
Maharashtra,2024,246337.0,127359000.0,193.42
Maharashtra,2025,278993.0,128334000.0,217.4
Punjab,2020,954.0,30099000.0,3.17
Punjab,2021,6678.0,30338000.0,22.01
Punjab,2022,16031.0,30534000.0,52.5
Punjab,2023,31910.0,30730000.0,103.84
Punjab,2024,45178.0,30926000.0,146.08
Punjab,2025,46136.0,31122000.0,148.24
Rajasthan,2020,8205.0,78272000.0,10.48
Rajasthan,2021,31409.0,79281000.0,39.62
Rajasthan,2022,88364.0,80153000.0,110.24
Rajasthan,2023,99703.0,81025000.0,123.05
Rajasthan,2024,106823.0,81897000.0,130.44
Rajasthan,2025,123153.0,82770000.0,148.79
Tamil Nadu,2020,11941.0,76049000.0,15.7
Tamil Nadu,2021,39672.0,76402000.0,51.93
Tamil Nadu,2022,71903.0,76631000.0,93.83
Tamil Nadu,2023,101221.0,76860000.0,131.7
Tamil Nadu,2024,137714.0,77088000.0,178.65
Tamil Nadu,2025,190823.0,77317000.0,246.81
Telangana,2020,2617.0,37473000.0,6.98
Telangana,2021,14856.0,37725000.0,39.38
Telangana,2022,39208.0,37908000.0,103.43
Telangana,2023,61593.0,38090000.0,161.7
Telangana,2024,72390.0,38271000.0,189.15
Telangana,2025,88881.0,38454000.0,231.14
Uttar Pradesh,2020,31595.0,227943000.0,13.86
Uttar Pradesh,2021,82038.0,230907000.0,35.53
Uttar Pradesh,2022,189009.0,233297000.0,81.02
Uttar Pradesh,2023,306471.0,235688000.0,130.03
Uttar Pradesh,2024,378103.0,238078000.0,158.81
Uttar Pradesh,2025,414565.0,240468000.0,172.4
West Bengal,2020,8204.0,97515000.0,8.41
West Bengal,2021,6064.0,98124000.0,6.18
West Bengal,2022,13260.0,98604000.0,13.45
West Bengal,2023,26649.0,99083000.0,26.9
West Bengal,2024,52330.0,99563000.0,52.56
West Bengal,2025,133390.0,100042000.0,133.33
