State,Latest_EV_Year,Annual_EV_Registrations_2025_26,Cumulative_EV_Registrations_2025_26,EV_CAGR_2020_21_to_2025_26,EV_Share_2025_26,Charging_Station_Count,Total_Connectors,Fast_Charger_Count,Avg_Charger_Rating,District_Count,City_Count,Private_Charger_Rows,Govt_Charger_Rows,Connectors_per_Station,Fast_Charger_Share,Cumulative_EVs_per_Charging_Station,Cumulative_EVs_per_Connector,Annual_EVs_2025_26_per_Charging_Station,Annual_EVs_2025_26_per_Connector,GSDP_2023_24,PC_NSDP_2023_24,Period,Date,Peak_Demand,Peak_Met,Peak_Deficit,Peak_Deficit_Percentage,Power_Readiness_Score,Annual_EV_Demand_Score,Cumulative_EV_Market_Score,EV_Growth_Score,EV_Adoption_Intensity_Score,Connector_Gap_Score,Station_Gap_Score,Charging_Supply_Score,Fast_Charger_Quality_Score,GSDP_Score,Per_Capita_Income_Score,Power_Score,Investment_Opportunity_Score,Opportunity_Category
Andhra Pradesh,2025-26,69495.0,218230.0,85.85,2.62,793,1089,340,23.229663962920046,46,385,161,702,1.37,42.88,275.2,200.39,87.64,63.82,1422093.8969064998,237950.62514060672,Dec-2025,2025-12-01,11636.0,11586.0,50.0,0.43,99.57,8.57,4.72,46.38,2.02,30.15,27.16,2.08,41.31,20.43,39.49,0.0,20.4,Lower Priority
Delhi,2025-26,107644.0,480158.0,55.58,17.65,1977,3678,395,11.80831654676259,24,3,2784,691,1.86,19.98,242.87,130.55,54.45,29.27,1112904.820707844,459408.48992213927,Dec-2025,2025-12-01,5505.0,5505.0,0.0,0.0,100.0,18.68,22.99,0.0,100.0,15.58,21.35,36.24,10.29,11.09,100.0,100.0,25.51,Lower Priority
Gujarat,2025-26,86280.0,350476.0,119.66,2.31,1208,1792,574,26.44975404075896,60,291,307,1116,1.48,47.52,290.13,195.58,71.42,48.15,2425803.9750322048,297722.29861352075,Dec-2025,2025-12-01,24369.0,24369.0,0.0,0.0,100.0,13.02,13.94,98.19,0.0,29.15,29.84,11.36,47.59,50.75,55.82,100.0,34.25,High Opportunity
Haryana,2025-26,37137.0,170520.0,65.08,5.75,936,3055,807,15.968647897115051,39,173,2013,864,3.26,86.22,182.18,55.82,39.68,12.16,1085510.2824699832,319363.01387693,Dec-2025,2025-12-01,9512.0,9512.0,0.0,0.0,100.0,0.0,1.4,14.56,22.43,0.0,10.44,28.02,100.0,10.26,61.73,100.0,11.26,Lower Priority
Karnataka,2025-26,221441.0,762386.0,76.34,3.96,6146,8512,761,8.630936211496483,46,505,6288,1958,1.38,12.38,124.05,89.57,36.03,26.02,2557241.345812361,339813.4286848649,Dec-2025,2025-12-01,17220.0,17220.0,0.0,0.0,100.0,48.83,42.67,31.81,10.76,7.04,0.0,100.0,0.0,54.73,67.32,100.0,27.85,Lower Priority
Kerala,2025-26,115400.0,352288.0,120.84,4.07,1394,2262,487,18.126960784313727,26,294,601,1439,1.62,34.94,252.72,155.74,82.78,51.02,1139945.4469340965,279750.7179436059,Dec-2025,2025-12-01,4567.0,4567.0,0.0,0.0,100.0,20.74,14.07,100.0,11.47,20.84,23.12,17.56,30.55,11.91,50.91,100.0,32.06,Moderate Opportunity
Madhya Pradesh,2025-26,158886.0,420139.0,105.02,6.6,1147,1432,335,17.51092577147623,94,294,71,1128,1.25,29.21,366.29,293.39,138.52,110.95,1353808.97,139712.78618949302,Dec-2025,2025-12-01,19851.0,19851.0,0.0,0.0,100.0,32.26,18.8,75.76,27.97,49.55,43.52,6.61,22.79,18.37,12.65,100.0,40.62,High Opportunity
Maharashtra,2025-26,278993.0,980785.0,97.03,5.28,4183,6315,1240,15.794832086305895,62,598,4109,1638,1.51,29.64,234.47,155.31,66.7,44.18,4055847.226926247,278681.09134563245,Dec-2025,2025-12-01,28605.0,28605.0,0.0,0.0,100.0,64.08,57.9,63.52,19.36,20.75,19.84,71.02,23.37,100.0,50.62,100.0,46.49,High Opportunity
Punjab,2025-26,46136.0,150500.0,117.22,7.51,715,931,226,19.780583756345177,46,223,88,700,1.3,31.61,210.49,161.65,64.53,49.56,745819.5406058434,195030.5091745452,Dec-2025,2025-12-01,10172.0,10172.0,0.0,0.0,100.0,2.38,0.0,94.45,33.9,22.07,15.53,0.0,26.04,0.0,27.76,100.0,26.66,Lower Priority
Rajasthan,2025-26,123153.0,480865.0,71.9,5.54,1531,1928,513,17.890077704722056,99,383,280,1393,1.26,33.51,314.09,249.41,80.44,63.88,1521509.645282911,166647.29990392,Dec-2025,2025-12-01,19100.0,19100.0,0.0,0.0,100.0,22.79,23.04,25.01,21.06,40.37,34.14,13.15,28.62,23.43,20.01,100.0,29.4,Moderate Opportunity
Tamil Nadu,2025-26,190823.0,567634.0,74.07,4.17,1781,3040,917,22.62611513534121,76,511,420,2203,1.71,51.49,318.72,186.72,107.14,62.77,2721570.51262172,315219.5944347031,Dec-2025,2025-12-01,17615.0,17598.0,17.0,0.1,99.9,40.72,29.09,28.33,12.13,27.3,34.98,27.82,52.97,59.69,60.6,76.74,32.45,Moderate Opportunity
Telangana,2025-26,88881.0,282402.0,102.4,4.29,1064,1630,484,22.3520984081042,63,386,478,904,1.53,45.49,265.42,173.25,83.53,54.53,1464377.6072432527,346457.0522174364,Dec-2025,2025-12-01,14653.0,14653.0,0.0,0.0,100.0,13.71,9.2,71.74,12.91,24.49,25.4,9.22,44.84,21.71,69.14,100.0,27.82,Lower Priority
Uttar Pradesh,2025-26,414565.0,1584541.0,67.34,8.34,2328,2960,515,14.15766590389016,135,487,341,2281,1.27,22.12,680.64,535.32,178.08,140.06,2562792.1491223588,93422.08561472644,Dec-2025,2025-12-01,23070.0,23070.0,0.0,0.0,100.0,100.0,100.0,18.02,39.31,100.0,100.0,26.76,13.19,54.89,0.0,100.0,76.77,High Opportunity
West Bengal,2025-26,133390.0,273789.0,74.67,8.86,903,1192,320,18.33093596059113,44,282,182,833,1.32,35.44,303.2,229.69,147.72,111.9,1651373.7290476582,149515.17800320097,Dec-2025,2025-12-01,7940.0,7940.0,0.0,0.0,100.0,25.5,8.6,29.25,42.7,36.26,32.19,3.44,31.23,27.36,15.33,100.0,28.98,Moderate Opportunity
